Date,Adj Close
2010-01-04,33750
2010-01-05,33900
2010-01-06,34250
2010-01-07,34600
2010-01-08,34450
2010-01-11,34800
2010-01-12,34100
2010-01-13,34600
2010-01-14,35550
2010-01-15,37500
2010-01-18,37450
2010-01-19,37850
2010-01-20,36700
2010-01-21,37500
2010-01-22,35500
2010-01-25,34650
2010-01-26,34750
2010-01-27,35350
2010-01-28,35500
2010-01-29,34550
2010-02-01,34500
2010-02-02,34200
2010-02-03,34850
2010-02-04,36100
2010-02-05,35850
2010-02-08,35750
2010-02-09,35800
2010-02-10,35800
2010-02-11,37400
2010-02-12,37100
2010-02-16,37200
2010-02-17,38050
2010-02-18,38200
2010-02-19,37000
2010-02-22,37700
2010-02-23,37600
2010-02-24,37050
2010-02-25,37000
2010-02-26,38200
2010-03-02,38000
2010-03-03,37650
2010-03-04,37250
2010-03-05,37600
2010-03-08,38400
2010-03-09,38750
2010-03-10,39650
2010-03-11,39400
2010-03-12,39950
2010-03-15,39650
2010-03-16,39100
2010-03-17,39900
2010-03-18,40400
2010-03-19,40600
2010-03-22,39900
2010-03-23,39050
2010-03-24,39300
2010-03-25,38600
2010-03-26,38700
2010-03-29,38100
2010-03-30,39650
2010-03-31,40100
2010-04-01,40200
2010-04-02,40300
2010-04-05,39300
2010-04-06,38900
2010-04-07,40500
2010-04-08,41200
2010-04-09,41200
2010-04-12,42450
2010-04-13,41800
2010-04-14,41800
2010-04-15,41350
2010-04-16,41150
2010-04-19,39650
2010-04-20,39000
2010-04-21,39800
2010-04-22,39350
2010-04-23,38800
2010-04-26,39850
2010-04-27,39050
2010-04-28,37800
2010-04-29,38600
2010-04-30,38850
2010-05-03,39050
2010-05-04,38600
2010-05-06,37500
2010-05-07,36950
2010-05-10,36900
2010-05-11,36400
2010-05-12,35500
2010-05-13,36500
2010-05-14,35850
2010-05-17,35050
2010-05-18,35500
2010-05-19,35900
2010-05-20,34850
2010-05-24,35100
2010-05-25,33900
2010-05-26,32800
2010-05-27,34150
2010-05-28,35300
2010-05-31,35800
2010-06-01,35650
2010-06-03,36250
2010-06-04,35200
2010-06-07,34350
2010-06-08,34750
2010-06-09,35650
2010-06-10,35800
2010-06-11,36100
2010-06-14,36200
2010-06-15,36500
2010-06-16,36400
2010-06-17,35900
2010-06-18,36400
2010-06-21,37500
2010-06-22,38600
2010-06-23,39450
2010-06-24,39400
2010-06-25,39000
2010-06-28,39000
2010-06-29,38100
2010-06-30,38400
2010-07-01,38400
2010-07-02,39500
2010-07-05,38650
2010-07-06,39100
2010-07-07,38800
2010-07-08,40000
2010-07-09,40000
2010-07-12,40200
2010-07-13,41250
2010-07-14,41550
2010-07-15,41550
2010-07-16,40850
2010-07-19,41600
2010-07-20,42050
2010-07-21,42200
2010-07-22,41550
2010-07-23,42900
2010-07-26,42550
2010-07-27,41600
2010-07-28,41550
2010-07-29,42200
2010-07-30,41450
2010-08-02,42450
2010-08-03,44800
2010-08-04,48000
2010-08-05,47250
2010-08-06,46950
2010-08-09,47100
2010-08-10,47850
2010-08-11,47900
2010-08-12,44500
2010-08-13,46500
2010-08-16,46600
2010-08-17,48050
2010-08-18,48600
2010-08-19,48650
2010-08-20,47000
2010-08-23,47200
2010-08-24,45750
2010-08-25,44600
2010-08-26,44300
2010-08-27,46900
2010-08-30,47800
2010-08-31,49200
2010-09-01,51500
2010-09-02,52400
2010-09-03,50900
2010-09-06,51000
2010-09-07,51000
2010-09-08,50800
2010-09-09,51300
2010-09-10,54700
2010-09-13,55600
2010-09-14,55700
2010-09-15,54700
2010-09-16,54400
2010-09-17,54700
2010-09-20,56500
2010-09-24,55900
2010-09-27,56500
2010-09-28,57900
2010-09-29,56200
2010-09-30,55200
2010-10-01,55000
2010-10-04,57200
2010-10-05,55000
2010-10-06,57900
2010-10-07,58300
2010-10-08,58300
2010-10-11,56700
2010-10-12,56000
2010-10-13,55800
2010-10-14,58000
2010-10-15,58400
2010-10-18,57000
2010-10-19,54900
2010-10-20,54200
2010-10-21,55300
2010-10-22,57200
2010-10-25,57700
2010-10-26,59500
2010-10-27,59100
2010-10-28,60300
2010-10-29,59000
2010-11-01,60900
2010-11-02,64200
2010-11-03,66200
2010-11-04,65900
2010-11-05,65300
2010-11-08,65000
2010-11-09,67100
2010-11-10,69900
2010-11-11,67900
2010-11-12,65700
2010-11-15,64700
2010-11-16,65900
2010-11-17,67100
2010-11-18,67600
2010-11-19,66200
2010-11-22,63600
2010-11-23,64300
2010-11-24,62700
2010-11-25,63200
2010-11-26,62300
2010-11-29,61000
2010-11-30,62900
2010-12-01,67500
2010-12-02,66900
2010-12-03,67700
